timestamp,timestamp,equity,price,action,reward
2025-08-10 18:30:00,2025-08-10 18:30:00,98878.8067441726,4227.32,1.0,-0.011275260068227277
2025-08-10 18:45:00,2025-08-10 18:45:00,98945.28020626816,4235.67,0.0,0.0006720462166377539
2025-08-10 19:00:00,2025-08-10 19:00:00,99140.72154728856,4246.02,0.0,0.001973298493679035
2025-08-10 19:15:00,2025-08-10 19:15:00,99382.97518555936,4242.77,0.0,0.0024405525637711803
2025-08-10 19:30:00,2025-08-10 19:30:00,99306.90520252747,4248.27,0.0,-0.000765715763682457
2025-08-10 19:45:00,2025-08-10 19:45:00,99435.63901996605,4248.83,0.0,0.0012954834199839652
2025-08-10 20:00:00,2025-08-10 20:00:00,99448.74646319615,4232.09,0.0,0.0001318096764331488
2025-08-10 20:15:00,2025-08-10 20:15:00,99056.92753521036,4213.98,0.0,-0.003947690047785373
2025-08-10 20:30:00,2025-08-10 20:30:00,98633.04218360802,4227.93,0.0,-0.004288391584257248
2025-08-10 20:45:00,2025-08-10 20:45:00,98959.55795692954,4217.0,0.0,0.003304942293289369
2025-08-10 21:00:00,2025-08-10 21:00:00,98703.72875245613,4208.26,0.0,-0.0025885368151208027
2025-08-10 21:15:00,2025-08-10 21:15:00,98499.15901347192,4196.71,0.0,-0.002074714165513127
2025-08-10 21:30:00,2025-08-10 21:30:00,98228.81799685088,4197.73,0.0,-0.0027483756087908536
2025-08-10 21:45:00,2025-08-10 21:45:00,98252.69226844858,4223.33,0.0,0.00024301799882293172
2025-08-10 22:00:00,2025-08-10 22:00:00,98851.88967325362,4219.64,0.0,0.0060800134097019854
2025-08-10 22:15:00,2025-08-10 22:15:00,98765.52098482665,4226.34,0.0,-0.0008741000465346439
2025-08-10 22:30:00,2025-08-10 22:30:00,98922.34218061548,4235.71,0.0,0.0015865539358158806
2025-08-10 22:45:00,2025-08-10 22:45:00,99141.65779323356,4250.63,0.0,0.0022145942955996835
2025-08-10 23:00:00,2025-08-10 23:00:00,99490.87753072151,4239.53,0.0,0.003516242661152769
2025-08-10 23:15:00,2025-08-10 23:15:00,99231.06928098181,4242.15,0.0,-0.002614793201625702
2025-08-10 23:30:00,2025-08-10 23:30:00,99292.39339037983,4247.32,0.0,0.0006178021531898055
2025-08-10 23:45:00,2025-08-10 23:45:00,99413.4031787721,4250.57,0.0,0.0012179796004063138
2025-08-11 00:00:00,2025-08-11 00:00:00,99489.473161804,4249.97,0.0,0.000764895793768953
2025-08-11 00:15:00,2025-08-11 00:15:00,99475.42947262888,4276.61,0.0,-0.00014116750253426018
2025-08-11 00:30:00,2025-08-11 00:30:00,100098.96927200412,4268.49,0.0,0.006248715588912432
2025-08-11 00:45:00,2025-08-11 00:45:00,99908.91134516752,4262.94,0.0,-0.0019005049546676055
2025-08-11 01:00:00,2025-08-11 01:00:00,99779.00722029767,4280.46,0.0,-0.0013010716334575063
2025-08-11 01:15:00,2025-08-11 01:15:00,100189.08294421114,4292.68,0.0,0.004101417365349969
2025-08-11 01:30:00,2025-08-11 01:30:00,100475.10608041106,4309.28,0.0,0.0028507660614102617
2025-08-11 01:45:00,2025-08-11 01:45:00,100863.64814758931,4303.81,0.0,0.0038595902809898663
2025-08-11 02:00:00,2025-08-11 02:00:00,100735.6165146095,4313.1,0.0,-0.0012701598927673573
2025-08-11 02:15:00,2025-08-11 02:15:00,100953.05963533757,4311.41,0.0,0.0021562262108671525
2025-08-11 02:30:00,2025-08-11 02:30:00,100913.50324416098,4314.58,0.0,-0.00039190632781014006
2025-08-11 02:45:00,2025-08-11 02:45:00,100987.70073530286,4309.05,0.0,0.0007349881330039314
2025-08-11 03:00:00,2025-08-11 03:00:00,100858.26473340552,4302.52,0.0,-0.001282522733004126
2025-08-11 03:15:00,2025-08-11 03:15:00,100705.422582883,4291.9,0.0,-0.0015165646337579387
2025-08-11 03:30:00,2025-08-11 03:30:00,100456.84928448338,4292.26,0.0,-0.002471372217158954
2025-08-11 03:45:00,2025-08-11 03:45:00,100465.27549798846,4309.64,0.0,8.387541709656961e-05
2025-08-11 04:00:00,2025-08-11 04:00:00,100872.07436109439,4338.77,0.0,0.004040973192085656
2025-08-11 04:15:00,2025-08-11 04:15:00,101553.89547054638,4325.87,0.0,0.006736523860847669
2025-08-11 04:30:00,2025-08-11 04:30:00,101251.95615328134,4323.57,0.0,-0.0029776215817844238
2025-08-11 04:45:00,2025-08-11 04:45:00,101198.12201144338,4319.4,0.0,-0.0005318263504252537
2025-08-11 05:00:00,2025-08-11 05:00:00,101100.5183716763,4321.92,0.0,-0.0009649461524372048
2025-08-11 05:15:00,2025-08-11 05:15:00,101159.50186621181,4310.78,0.0,0.0005832442431102605
2025-08-11 05:30:00,2025-08-11 05:30:00,100898.7573705271,4304.62,0.0,-0.0025808857445761475
2025-08-11 05:45:00,2025-08-11 05:45:00,100754.5754949959,4306.47,0.0,-0.0014299976901157622
