,log_time_gap,hour_sin,hour_cos,body_ratio,log_ret_1,log_ret_4,log_ret_24,volatility_4,volatility_24_ratio,dist_vwap_24,rsi_14,bb_percent_b,adx_14,mfi_14,williams_r_14
count,54736.0,54736.0,54736.0,54736.0,54736.0,54736.0,54736.0,54736.0,54736.0,54736.0,54736.0,54736.0,54736.0,54736.0,54736.0
mean,0.0002910532582991081,-0.0001923122580861778,-3.0832440803734814e-05,0.011635618749814511,4.111122846914432e-05,0.00016446571220640982,0.0009793686940835307,0.004890517567188799,0.8951141182012754,0.0009671870927584967,0.5079621109878221,0.5129546676902695,0.27529601917845703,0.5028658971396047,0.5271512040501499
std,0.018735970643112845,0.7071028918306688,0.7071235622400007,0.49605316792499,0.006670861021445682,0.01304441171253337,0.031926975506453764,0.004608309604775166,0.4743005601981803,0.015673325245984113,0.12149112138913272,0.3350971698146121,0.11901853771705452,0.17520361063452858,0.2641782002460513
min,0.0,-1.0,-1.0,-0.9999999999949689,-0.2010332141747841,-0.342862748443188,-0.62450986352578,6.210758142984074e-05,0.017287609019039377,-0.29745767570994236,0.05560567012690502,-0.5631362673071739,0.06558050525226496,-3.2827487424516832e-15,0.0
25%,0.0,-0.7071067811865477,-0.7071067811865476,-0.40834506620094646,-0.0023254864744476442,-0.00451665483498459,-0.012817811225323167,0.002145304750336627,0.5360896169494425,-0.0062555562062657,0.430562470197099,0.2624575387069123,0.18564153461349572,0.37477650711484967,0.30399994327562474
50%,0.0,0.0,-1.8369701987210297e-16,0.014228896054974755,6.076939633845542e-05,0.00017267734449711677,0.0009008844220407733,0.00366284117242987,0.8122698981180043,0.0006955448357696594,0.5075919930445174,0.5243214087644703,0.25084098038719777,0.5020322042059193,0.5350234285993207
75%,0.0,0.7071067811865476,0.7071067811865474,0.4320688737711421,0.0025042642803500144,0.005034944241584823,0.015158716407739678,0.0061636327524379085,1.1740661407306296,0.007954438042922308,0.5847626579215905,0.7637888309382997,0.3446469006463981,0.6301739734352103,0.7549758056061852
max,1.791759469228055,1.0,1.0,0.9999999999874148,0.16028033154146137,0.18227152294039328,0.28319085624320234,0.15146664986370947,2.6533281680479277,0.10759459620631334,0.9585426704876628,1.5751021214650798,0.8276419530396459,1.0000000000000004,1.0
